"sample","scientific","maxn","type","longitude","latitude","date","time","time.out","site","location","status","depth","observer","maxn.complete.yyyymmdd","maxn.checker","successful.count","successful.length","left.cam","right.cam","rear.cam","video.notes","raw.hd","con.hd","forward.habitat.image.saved","backward.habitat.image.saved","habitat.classification","length.analyst","length.complete.date.yyyymmdd","notes"
"3.03","total.abundance",57,"new",113.5338398,-22.80693423,12082019,14:00:00,15:05:00,3,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20190913,"Todd","Yes",NA,373,374,439,"Video for rear facing instead of stills. Right is out of focus. Pulled a minute early.",1,"1","Yes","Yes","20200304","Charlotte Aston","20200309",NA
"3.04","total.abundance",70,"legacy",113.51938,-22.80608,12082019,14:17:00,15:30:00,3,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20190913,"Todd Can't measure Pristipomoides, Sphyraena","Yes",NA,375,376,440,NA,1,"1","Yes","Yes","20200304","Charlotte Aston","20200309",NA
"3.05","total.abundance",52,"new",113.51626,-22.80532471,12082019,14:21:00,15:37:00,3,"Ningaloo Marine Park","NA","?","Todd Bond",20190905,NA,"Yes",NA,372,371,564,NA,1,"1","Yes","Yes","20200304","Charlotte Aston","20200316",NA
"3.06","total.abundance",43,"new",113.5105585,-22.80463491,12082019,14:25:00,15:43:00,3,"Ningaloo Marine Park","NA","?","Todd Bond",20190905,NA,"Yes",NA,378,377,423,NA,1,"1","Yes","Yes","20200304","Charlotte Aston","20200316",NA
"4.01","total.abundance",26,"legacy",113.49708,-22.80504,13082019,08:05:00,09:16:00,4,"Ningaloo Marine Park","NA","?","Todd Bond",20190905,NA,"Yes",NA,373,374,439,"Nice habitat",1,"1","Yes","Yes","20200304","Charlotte Aston","20200316",NA
"4.02","total.abundance",12,"legacy",113.51077,-22.79001,13082019,08:15:00,09:25:00,4,"Ningaloo Marine Park","NA","?","Todd Bond",20190904,NA,"Yes",NA,367,368,440,"Light off (light is on but camera settings are weird TB)",1,"1","Yes","Yes","20200304","Charlotte Aston","20200316",NA
"4.03","total.abundance",21,"new",113.5005807,-22.78991929,13082019,08:24:00,09:37:00,4,"Ningaloo Marine Park","NA","?","Todd Bond",20190904,NA,"Yes",NA,369,370,422,NA,1,"1","Yes","Yes","20200304","Charlotte Aston","20200316",NA
"4.11","total.abundance",22,"new",113.496067,-22.78371114,13082019,08:33:00,09:57:00,4,"Ningaloo Marine Park","NA","?","Todd Bond",20190906,NA,"Yes","?",378,377,423,"Left cam ran out of memory",1,"1","Yes","Yes","20200304","Charlotte Aston","20200316",NA
"4.12","total.abundance",11,"new",113.4877522,-22.78578052,13082019,08:56:00,10:03:00,4,"Ningaloo Marine Park","NA","?","Todd Bond",20190906,NA,"Yes",NA,375,376,420,"Rope tangled re-deployed",1,"1","Yes","Yes","20200304","Charlotte Aston","20200316",NA
"5.02","total.abundance",48,"legacy",113.54762,-22.78253,13082019,15:37:00,16:40:00,5,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190910,"Todd","Yes",NA,378,377,423,NA,1,"1","Yes","Yes","20200304","Charlotte Aston","20191204",NA
"5.03","total.abundance",92,"legacy",113.56188,-22.78303,13082019,15:42:00,16:50:00,5,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190910,"Todd","Yes",NA,372,371,564,"Light on backwards not working",1,"1","Yes","Yes","20200304","Charlotte Aston","20191204","Measurements accepted with low RMS"
"5.07","total.abundance",48,"new",113.57245,-22.7727833,13082019,15:49:00,17:00:00,5,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190911,"Todd","Yes",NA,375,376,420,NA,1,"1","Yes","Yes","20200304","Charlotte Aston","20200313",NA
"5.08","total.abundance",63,"new",113.5716127,-22.76807579,13082019,15:53:00,17:08:00,5,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190916,"Todd","Yes",NA,367,368,440,NA,1,"1","Yes","Yes","20200304","Charlotte Aston","20200313",NA
"5.11","total.abundance",52,"new",113.5723254,-22.76278737,13082019,16:05:00,17:16:00,5,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190916,"Todd","Yes",NA,369,370,422,NA,1,"1","Yes","Yes","20200304","Charlotte Aston","20191204",NA
"5.13","total.abundance",39,"legacy",113.58319,-22.76082,13082019,16:11:00,17:24:00,5,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190916,"Todd","Yes","No",373,374,439,"Nice red on backwards cam. No Right cam",1,"1","Yes","Yes","20200304",NA,"NA","No right camera"
"6.01","total.abundance",32,"legacy",113.53596,-22.77091,13082019,13:41:00,15:22:00,6,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190918,"Todd","Yes",NA,378,377,423,NA,1,"1","Yes","Yes","20200304","Charlotte Aston","20191204",NA
"6.02","total.abundance",59,"legacy",113.55367,-22.75818,13082019,13:31:00,15:09:00,6,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20190913,"Todd - find taeniorous fish","Yes",NA,372,371,564,"Light on backwards cuts out half way",1,"1","Yes","Yes","20200304","Charlotte Aston","20191204","Measurements accepted with high RMS'"
"6.03","total.abundance",79,"legacy",113.54189,-22.75754,13082019,13:25:00,14:53:00,6,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190918,"Todd","Yes",NA,375,376,420,"Nice habitat. Nice habitat on backwards",1,"1","Yes","Yes","20200304","Charlotte Aston","20200313",NA
"6.04","total.abundance",15,"new",113.5402541,-22.75175065,13082019,13:21:00,14:42:00,6,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20190916,"Todd","Yes",NA,367,368,440,NA,1,"1","Yes","Yes","20200304","Charlotte Aston","20191205",NA
"6.05","total.abundance",16,"new",113.5412044,-22.7411738,13082019,13:15:00,14:31:00,6,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20190918,"Todd","Yes",NA,369,370,422,"Cool habitat on way up",1,"1","Yes","Yes","20200304","Charlotte Aston","20191205",NA
"6.12","total.abundance",19,"new",113.541917,-22.73059695,13082019,13:11:00,14:16:00,6,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20190918,"Todd","Yes",NA,373,374,439,NA,1,"1","Yes","Yes","20200304","Charlotte Aston","20191205",NA
"7.01","total.abundance",20,"new",113.5509445,-22.73427585,14082019,08:24:00,09:44:00,7,"Ningaloo Marine Park","NA","85","Charlotte Aston",20190918,"Todd","Yes",NA,378,377,423,"Two whales on way up. Tiger on backwards",1,"1","Yes","Yes","20200304","Charlotte Aston","20191205",NA
"7.02","total.abundance",26,"new",113.5533202,-22.7317466,14082019,08:21:00,09:38:00,7,"Ningaloo Marine Park","NA","84","Brooke Gibbons",20190919,"Todd","Yes",NA,372,371,564,NA,1,"1","Yes","Yes","20200304","Charlotte Aston","20200310",NA
"7.03","total.abundance",53,"new",113.5554582,-22.72507859,14082019,08:16:00,09:29:00,7,"Ningaloo Marine Park","NA","82","Charlotte Aston",20190925,"Todd","Yes",NA,375,376,420,"Big rankin and baby red",1,"1","Yes","Yes","20200304","Charlotte Aston","20191205",NA
"7.04","total.abundance",17,"new",113.5630603,-22.72760784,14082019,08:13:00,09:22:00,7,"Ningaloo Marine Park","NA","75","Brooke Gibbons",20190920,"Todd","Yes",NA,367,368,440,NA,1,"1","Yes","Yes","20200304","Charlotte Aston","20200311",NA
"7.05","total.abundance",52,"new",113.5732756,-22.72875749,14082019,08:08:00,09:15:00,7,"Ningaloo Marine Park","NA","72","Brooke Gibbons",20190923,"Todd","Yes",NA,369,370,422,NA,1,"1","Yes","Yes","20200304","Charlotte Aston","20200311",NA
"7.08","total.abundance",59,"new",113.5756513,-22.73059695,14082019,08:03:00,09:06:00,7,"Ningaloo Marine Park","NA","72","Charlotte Aston",20190925,"Todd","Yes",NA,373,374,439,"Whale breaches at start 2:13. Backwards video instead of pictures",1,"1","Yes","Yes","20200304","Charlotte Aston","20191205",NA
"8.01","total.abundance",27,"new",113.5497567,-22.71266228,14082019,10:00:00,11:02:00,8,"Ningaloo Marine Park","NA","87","Charlotte Aston",20190925,"Todd","Yes",NA,378,377,423,NA,1,"1","Yes","Yes","20200304","Charlotte Aston","20191205",NA
"8.02","total.abundance",115,"new",113.5559334,-22.70277523,14082019,10:06:00,11:12:00,8,"Ningaloo Marine Park","NA","76","Charlotte Aston",20190926,"Todd - Go back for lamark+others for pictures","Yes",NA,372,371,564,"Great habitat, massive grouper - good for cool clips, tiger on backwards photo",1,"1","Yes","Yes","20200304","Charlotte Aston","20191205","Measurements accepted with high RMS. Sea fan covering right camera so very few actually measurements"
"8.05","total.abundance",36,"legacy",113.57994,-22.7017,14082019,10:31:00,11:52:00,8,"Ningaloo Marine Park","NA","63","Charlotte Aston",20191001,"Todd - blennidae sp1","Yes",NA,373,374,439,"Dragged by whale",1,"1","Yes","Yes","20200304","Charlotte Aston","20200311",NA
"8.06","total.abundance",21,"legacy",113.58157,-22.69621,14082019,10:27:00,11:45:00,8,"Ningaloo Marine Park","NA","61","Charlotte Aston",20191001,"Todd","Yes",NA,369,370,422,"Lil hammer",1,"1","Yes","Yes","20200304","Charlotte Aston","20200311",NA
"8.07","total.abundance",57,"legacy",113.57783,-22.69542,14082019,10:23:00,11:38:00,8,"Ningaloo Marine Park","NA","63","Charlotte Aston",20191004,"Todd","Yes",NA,367,368,440,"Big red. Go back and check the grandoculis/griseus",1,"1","Yes","Yes","20200304","Charlotte Aston","20200311",NA
"8.12","total.abundance",39,"new",113.547381,-22.69932625,14082019,10:11:00,11:22:00,8,"Ningaloo Marine Park","NA","95","Charlotte Aston",20191007,"Todd","Yes",NA,375,376,420,"Lights turned off",1,"1","Yes","Yes","20200304","Charlotte Aston","20200312",NA
"9.01","total.abundance",40,"new",113.5359779,-22.70139564,13082019,11:16:00,12:51:00,9,"Ningaloo Marine Park","NA","?","Charlotte Aston",20191007,"Todd - Can't measure macrorhinus","Yes",NA,373,374,439,"3.1 also in the raw folder Left",1,"1","Yes","Yes","20200304","Charlotte Aston","20200312",NA
"9.02","total.abundance",18,"new",113.5214865,-22.7025453,13082019,11:00:00,12:14:00,9,"Ningaloo Marine Park","NA","?","Todd Bond",20190902,NA,"Yes",NA,378,377,423,"Converted wrong. Drops Frames.",1,"1","Yes","Yes","20200304","Charlotte Aston","20200313",NA
"9.06","total.abundance",22,"new",113.5319393,-22.6931181,13082019,11:10:00,12:40:00,9,"Ningaloo Marine Park","NA","?","Todd Bond",20190903,NA,"Yes",NA,369,370,422,"Bait almost gone at 30 mins. Converted wrong. Drops Frames.",1,"1","Yes","Yes","20200304","Charlotte Aston","20200313",NA
"9.07","total.abundance",17,"new",113.5255251,-22.71082283,13082019,10:52:00,12:05:00,9,"Ningaloo Marine Park","NA","?","Todd Bond",20190902,NA,"Yes",NA,372,371,564,"Check shark. DROP FRAMES ? Light on backwards not working. Bait runs low quickly and almost gone at 30 mins. Converted wrong. Drops Frames.",1,"1","Yes","Yes","20200305","Charlotte Aston","20200316",NA
"9.08","total.abundance",29,"new",113.5136468,-22.71220242,13082019,10:45:00,11:55:00,9,"Ningaloo Marine Park","NA","?","Todd Bond",20190902,NA,"Yes",NA,375,376,420,"Converted wrong. Drops Frames.",1,"1","Yes","Yes","20200305",NA,"NA","Still converted wrong"
"10.01","total.abundance",29,"new",113.5564085,-22.67587323,14082019,12:13:00,13:15:00,10,"Ningaloo Marine Park","NA","93","Charlotte Aston",20191114,"Todd","Yes",NA,373,374,439,"Shark flips BRUV",1,"1","Yes","Yes","20200305","Charlotte Aston","20200312",NA
"10.02","total.abundance",21,"new",113.5564085,-22.67334399,14082019,12:19:00,13:23:00,10,"Ningaloo Marine Park","NA","95","Charlotte Aston",20191008,"Todd","Yes",NA,369,370,422,NA,1,"1","Yes","Yes","20200305","Charlotte Aston","20200312",NA
"10.03","total.abundance",145,"new",113.5628228,-22.66874535,14082019,12:24:00,13:31:00,10,"Ningaloo Marine Park","NA","88","Charlotte Aston",20191010,"Todd","Yes",NA,367,368,440,"Backwards image ridge. Really cool drop. Tim should show this one.",1,"1","Yes","Yes","20200305","Charlotte Aston","20200312",NA
"10.09","total.abundance",39,"legacy",113.55942,-22.62918,14082019,14:34:00,16:05:00,10,"Ningaloo Marine Park","NA","160","Brooke Gibbons",20190911,"Todd - need to check shark","Yes",NA,378,377,423,"Converted wrong.",2,"1","Yes","Yes","20200305",NA,"NA","Still converted wrong"
"10.11","total.abundance",24,"legacy",113.5636,-22.61773,14082019,14:41:00,15:52:00,10,"Ningaloo Marine Park","NA","160","Brooke Gibbons",20190925,NA,"Yes",NA,372,371,564,NA,2,"2","Yes","Yes","20200305","Charlotte Aston","20200316",NA
"10.12","total.abundance",12,"legacy",113.57775,-22.59615,14082019,15:20:00,16:58:00,10,"Ningaloo Marine Park","NA","136","Brooke Gibbons",20190925,NA,"Yes",NA,375,376,420,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"10.13","total.abundance",41,"new",113.579,-22.638,14082019,14:53:00,16:24:00,10,"Ningaloo Marine Park","NA","78","Brooke Gibbons",20191010,NA,"Yes",NA,367,368,440,"extra site - picked by Tim - good habitat. Skipped frames",2,"2","Yes","Yes","20200305",NA,"NA",NA
"10.14","total.abundance",22,"new",113.5916667,-22.624,14082019,15:02:00,16:36:00,10,"Ningaloo Marine Park","NA","74","Charlotte Aston",20191015,NA,"Yes",NA,369,370,422,"extra site - picked by Tim",2,"2","Yes","Yes","20200305",NA,"NA",NA
"10.15","total.abundance",20,"new",113.594,-22.6058333,14082019,15:10:00,16:47:00,10,"Ningaloo Marine Park","NA","84","Charlotte Aston",20191015,NA,"Yes",NA,373,374,439,"extra site - picked by Tim",2,"2","Yes","Yes","20200305",NA,"NA",NA
"11.01","total.abundance",20,"new",113.6215013,-22.54044354,15082019,08:06:00,09:12:00,11,"Ningaloo Marine Park","NA","84","Charlotte Aston",20191114,NA,"Yes",NA,375,376,420,"Cloudy day",2,"2","Yes","Yes","20200305",NA,"NA",NA
"11.02","total.abundance",19,"new",113.6248272,-22.5365347,15082019,08:11:00,09:18:00,11,"Ningaloo Marine Park","NA","81","Charlotte Aston",20191016,NA,"Yes",NA,373,374,439,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"11.04","total.abundance",24,"new",113.6243521,-22.52871703,15082019,08:19:00,09:32:00,11,"Ningaloo Marine Park","NA","91","Charlotte Aston",20191017,NA,"Yes",NA,367,368,440,"Bad vis. Bouncing. Sand bar",2,"2","Yes","Yes","20200305",NA,"NA",NA
"11.06","total.abundance",10,"new",113.6345674,-22.52388847,15082019,08:31:00,09:47:00,11,"Ningaloo Marine Park","NA","77","Charlotte Aston",20191017,NA,"Yes",NA,372,371,564,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"12.02","total.abundance",23,"legacy",113.67504,-22.46724,15082019,10:37:00,12:02:00,12,"Ningaloo Marine Park","NA","56","Charlotte Aston",20190830,"Brooke","Yes",NA,369,370,422,"Converted wrong.",2,"1","Yes","Yes","20200305","Charlotte Aston","20200303",NA
"12.03","total.abundance",23,"new",113.6678265,-22.46824503,15082019,10:44:00,11:49:00,12,"Ningaloo Marine Park","NA","65","Charlotte Aston",20191022,NA,"Yes",NA,373,374,439,"Changed from 12.08 to 12.03",2,"2","Yes","Yes","20200305",NA,"NA",NA
"12.04","total.abundance",47,"new",113.6687767,-22.46433619,15082019,10:48:00,11:56:00,12,"Ningaloo Marine Park","NA","70","Charlotte Aston",20191022,NA,"Yes",NA,375,376,420,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"12.05","total.abundance",16,"new",113.6599868,-22.4673253,15082019,10:29:00,11:43:00,12,"Ningaloo Marine Park","NA","86","Charlotte Aston",20191022,NA,"Yes",NA,367,368,440,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"12.11","total.abundance",22,"legacy",113.64333,-22.48475,15082019,10:14:00,11:23:00,12,"Ningaloo Marine Park","NA","100","Charlotte Aston",20191022,NA,"Yes",NA,372,371,564,"Bouncing. Snapped bait arm",2,"2","Yes","Yes","20200305",NA,"NA",NA
"13.02","total.abundance",19,"new",113.7058369,-22.40386419,15082019,12:32:00,13:40:00,13,"Ningaloo Marine Park","NA","69","Charlotte Aston",20191024,NA,"Yes",NA,369,370,422,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"13.03","total.abundance",12,"new",113.7013231,-22.39903562,15082019,12:52:00,13:46:00,13,"Ningaloo Marine Park","NA","83","Charlotte Aston",20191114,NA,"Yes",NA,378,377,423,"Pulled 5 mins early",2,"2","Yes","Yes","20200305",NA,"NA",NA
"13.04","total.abundance",20,"new",113.6972845,-22.39765604,15082019,12:48:00,14:10:00,13,"Ningaloo Marine Park","NA","92","Charlotte Aston",20191024,NA,"Yes",NA,367,368,440,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"13.05","total.abundance",21,"new",113.6932459,-22.40087508,15082019,12:43:00,14:03:00,13,"Ningaloo Marine Park","NA","96","Charlotte Aston",20191028,NA,"Yes",NA,373,374,439,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"13.06","total.abundance",9,"new",113.6922957,-22.40478391,15082019,12:39:00,13:56:00,13,"Ningaloo Marine Park","NA","94.5","Charlotte Aston",20191028,NA,"Yes",NA,375,376,420,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"13.08","total.abundance",16,"new",113.7039364,-22.39328734,15082019,12:56:00,14:16:00,13,"Ningaloo Marine Park","NA","85","Charlotte Aston",20191029,NA,"Yes",NA,372,371,564,"Battery died",2,"2","Yes","Yes","20200305",NA,"NA",NA
"14.01","total.abundance",42,"legacy",113.72408,-22.32524,15082019,14:46:00,15:49:00,14,"Ningaloo Marine Park","NA","96","Charlotte Aston",20191029,NA,"Yes",NA,372,371,564,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"14.02","total.abundance",40,"legacy",113.73251,-22.30284,15082019,15:12:00,16:21:00,14,"Ningaloo Marine Park","NA","101","Charlotte Aston",20191115,NA,"Yes",NA,375,376,420,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"14.06","total.abundance",10,"legacy",113.79046,-22.17832,16082019,08:12:00,09:16:00,14,"Ningaloo Marine Park","NA","100","Charlotte Aston",20191029,NA,"Yes",NA,369,370,422,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"14.11","total.abundance",41,"new",113.7371667,-22.3266667,15082019,14:53:00,15:58:00,14,"Ningaloo Marine Park","NA","75","Charlotte Aston",20191029,NA,"Yes",NA,373,374,439,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"14.12","total.abundance",33,"new",113.746,-22.3071667,15082019,15:05:00,16:08:00,14,"Ningaloo Marine Park","NA","82","Charlotte Aston",20191030,NA,"Yes",NA,367,368,440,"Two dolphin fish at surface at end. Big reds and lots of them",2,"2","Yes","Yes","20200305",NA,"NA",NA
"14.13","total.abundance",71,"new",113.7416667,-22.2866667,15082019,15:20:00,16:32:00,14,"Ningaloo Marine Park","NA","101","Charlotte Aston",20191030,NA,"Yes",NA,378,377,423,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"15.01","total.abundance",60,"legacy",113.7915,-22.17344,16082019,08:16:00,09:23:00,15,"Ningaloo Marine Park","NA","100","Charlotte Aston",20191031,NA,"Yes",NA,378,377,423,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"15.07","total.abundance",28,"legacy",113.79163,-22.13639,16082019,08:43:00,10:03:00,15,"Ningaloo Marine Park","NA","116","Charlotte Aston",20191031,NA,"Yes",NA,372,371,564,"Sunny but windy. Clear, moray eel. Big goldband",2,"2","Yes","Yes","20200305",NA,"NA",NA
"15.12","total.abundance",17,"new",113.7899349,-22.14381158,16082019,08:39:00,09:53:00,15,"Ningaloo Marine Park","NA","110","Charlotte Aston",20191031,NA,"Yes",NA,373,374,439,"White whale. Missing backwards",2,"2","Yes","No","20200305",NA,"NA",NA
"16.01","total.abundance",15,"legacy",113.80074,-22.12155,16082019,10:22:00,11:28:00,18,"Ningaloo Marine Park","NA","101","Charlotte Aston",20191031,NA,"Yes",NA,372,371,564,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"16.02","total.abundance",7,"legacy",113.79192,-22.11624,16082019,10:28:00,11:37:00,16,"Ningaloo Marine Park","NA","145","Charlotte Aston",20191031,NA,"Yes",NA,373,374,439,"Good habitat",2,"2","Yes","Yes","20200305 check for weird hydroids",NA,"NA",NA
"16.03","total.abundance",9,"legacy",113.7967,-22.10669,16082019,10:39:00,11:48:00,16,"Ningaloo Marine Park","NA","190","Charlotte Aston",20191101,NA,"Yes",NA,367,368,440,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"16.05","total.abundance",41,"legacy",113.82563,-22.0856,16082019,11:00:00,12:23:00,16,"Ningaloo Marine Park","NA","85","Charlotte Aston",20191107,NA,"Yes",NA,369,370,422,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"17.08","total.abundance",33,"new",113.8193929,-22.0943763,16082019,10:53:00,12:15:00,17,"Ningaloo Marine Park","NA","90","Charlotte Aston",20191101,NA,"Yes",NA,378,377,423,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"18.01","total.abundance",23,"new",113.812266,-22.06954369,16082019,12:33:00,13:35:00,18,"Ningaloo Marine Park","NA","91","Charlotte Aston",20191101,NA,"Yes",NA,369,370,422,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"18.02","total.abundance",8,"new",113.8120284,-22.06517499,16082019,12:38:00,13:42:00,18,"Ningaloo Marine Park","NA","91","Charlotte Aston",20191101,NA,"Yes",NA,378,377,423,"Cool hammer footage. Not sure about the grandoculis/griseus in these video",2,"2","Yes","Yes","20200305",NA,"NA",NA
"18.03","total.abundance",17,"new",113.8082274,-22.06563485,16082019,12:46:00,13:53:00,18,"Ningaloo Marine Park","NA","117","Charlotte Aston",20191104,NA,"Yes",NA,375,376,420,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"18.04","total.abundance",26,"new",113.810603,-22.06172601,16082019,12:50:00,14:01:00,18,"Ningaloo Marine Park","NA","134","Charlotte Aston",20190830,"Brooke","Yes",NA,367,368,440,"Converted wrong. Hammerhead.",2,"2 (subfolder)","Yes","Yes","20200305","Charlotte Aston","20191205",NA
"18.07","total.abundance",122,"new",113.8281828,-22.06264574,16082019,12:54:00,14:10:00,18,"Ningaloo Marine Park","NA","109","Charlotte Aston",20191104,NA,"Yes",NA,373,374,439,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"18.08","total.abundance",13,"new",113.823194,-22.0725328,16082019,12:58:00,14:16:00,18,"Ningaloo Marine Park","NA","96","Charlotte Aston",20191104,NA,"Yes",NA,372,371,564,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"19.01","total.abundance",18,"legacy",113.82289,-22.01347,16082019,14:42:00,15:44:00,19,"Ningaloo Marine Park","NA","107","Charlotte Aston",20191104,NA,"Yes",NA,372,371,564,"Pelagic BRUVs deployed",2,"2","Yes","Yes","20200305",NA,"NA",NA
"19.02","total.abundance",23,"new",113.821531,-22.00792203,16082019,14:44:00,15:53:00,19,"Ningaloo Marine Park","NA","122","Charlotte Aston",20191104,NA,"Yes",NA,373,374,439,"Pelagic BRUVs deployed",2,"2","Yes","Yes","20200305",NA,"NA",NA
"19.03","total.abundance",16,"new",113.8305585,-22.00286353,16082019,14:55:00,16:07:00,19,"Ningaloo Marine Park","NA","99","Charlotte Aston",20191105,NA,"Yes",NA,378,377,423,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
